id|rank|symbol|name|supply|maxSupply|marketCapUsd|volumeUsd24Hr|priceUsd|changePercent24Hr|vwap24Hr|explorer
kava|79|KAVA|Kava|309183682.0000000000000000||432485566.2855768189631902|7931332.8169692559221045|1.3987981625937711|-3.5694058050940828|1.4307010121836303|https://www.mintscan.io/kava
stacks|80|STX|Stacks|1342184133.5962250000000000|1818000000.0000000000000000|419795860.0537737401465892|732485.3350825479552127|0.3127706918490982|-1.8793171487790398|0.3149210151609330|https://explorer.xinfin.network/
fei-protocol|81|FEI|Fei Protocol|424996177.7889055600000000||419669625.0113504605477812|182100.1519217511858699|0.9874668219246885|0.0459352811593598|0.9859826698204082|https://etherscan.io/token/0x956F47F50A910163D8BF957Cf5846D573E7f87CA
casper|82|CSPR|Casper|10477802253.0000000000000000||409738041.4268509320506082|2896566.2144795351316662|0.0391053420873194|-4.0320445020281540|0.0398083226200184|https://casperstats.io/
zilliqa|83|ZIL|Zilliqa|13484130530.8393650000000000|21000000000.0000000000000000|406145513.6285586327208155|14544776.0520960290400011|0.0301202597156464|-3.5588052335197553|0.0305885318402033|https://etherscan.io/token/0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27
binaryx|84|BNX|BinaryX|2781446.8977087100000000|21000000.0000000000000000|398242449.2865810642230883|2815978.6805178078753877|143.1781601204192504|-1.8208420063296542|144.2636808913401365|https://bscscan.com/token/0x8c851d1a123ff703bd1f9dabe631b69902df5f97
decred|85|DCR|Decred|14473332.9348373600000000|21000000.0000000000000000|388976168.8334538452005893|338944.7990753351579985|26.8753693834532699|-0.8334925797557805|26.9342437672289490|https://mainnet.decred.org/
xinfin-network|86|XDC|XinFin Network|12293293518.5500000000000000||387083283.5108809732445478|1013593.0706930798203558|0.0314873538915174|0.8494859917999570|0.0301159575025871|https://etherscan.io/token/0x41ab1b6fcbb2fa9dced81acbdec13ea6315f2bf2
1inch|87|1INCH|1inch Network|621442868.1321067000000000||373962550.8934972639197595|10891241.1889050117385429|0.6017649732106992|-3.4784408898951010|0.6084012640958277|https://etherscan.io/token/0x111111111117dc0aa78b770fa6a738034120c302
convex-finance|88|CVX|Convex Finance|69993574.6253256800000000|100000000.0000000000000000|365295472.3823932925751440|1820496.5017553390081852|5.2189858045943967|-1.4733298388646072|5.1947101497658551|https://etherscan.io/token/0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b
ravencoin|89|RVN|Ravencoin|11838581660.0964660000000000|21000000000.0000000000000000|365049791.4046244121859040|5118574.1459945067005056|0.0308356019230812|-2.5070573091616019|0.0310837696907869|https://ravencoin.network/
waves|90|WAVES|Waves|109746790.0000000000000000||360751061.3208577733322570|20032395.2012958372859821|3.2871217583754183|-4.4324287061822692|3.3578281519520473|http://wavesexplorer.com/
terrausd|91|USTC|TerraClassicUSD|9808123811.9822200000000000||351248333.8691188671824910|489256.7425628502186619|0.0358119800078392|-3.7760058560758362|0.0371217184785041|https://finder.terra.money/
holo|92|HOT|Holo|173342974126.7371200000000000||348961524.6327999077626407|9592208.3561341189478976|0.0020131275951090|-3.3071251321708285|0.0020790576605640|https://etherscan.io/token/0x6c6ee5e31d828de241282b9606c8e98ea48526e2
compound|93|COMP|Compound|7267151.9985256900000000|10000000.0000000000000000|347943493.3233461134947131|18256633.3450396222332924|47.8789343327254618|-4.5550355702526622|48.7287816105981360|https://etherscan.io/token/0xc00e94cb662c3520282e6f5717214004a7f26888
loopring|94|LRC|Loopring|1330133545.5263836000000000|1374513896.0000000000000000|347204827.9806977695784653|11398355.7043036562342110|0.2610300515677137|-5.3281631565712482|0.2671429773613697|https://etherscan.io/token/0xEF68e7C694F40c8202821eDF525dE3782458639f
nem|95|XEM|NEM|8999999999.0000000000000000|8999999999.0000000000000000|347165558.4633516490553416|3853752.7592502906128564|0.0385739509446584|-2.4876403154935234|0.0390937044706428|http://nembex.nem.ninja/
arweave|96|AR|Arweave|33394701.0000000000000000|66000000.0000000000000000|339614469.0197730334564782|9771224.7226288417060686|10.1697113269489382|-1.2253094616070073|10.1872413763801860|https://viewblock.io/arweave
celo|97|CELO|Celo|473376178.0000000000000000|1000000000.0000000000000000|337122776.1453464384994962|3890113.9285169195303817|0.7121667540806129|-4.2002283853274132|0.7231943217513045|https://explorer.celo.org/blocks
theta-fuel|98|TFUEL|Theta Fuel|5301214400.0000000000000000||316948069.1931339486222400|10443412.6262777445313989|0.0597878231812571|-2.0423934273867779|0.0611824553300556|https://explorer.thetatoken.org/
defichain|99|DFI|DeFiChain|510738160.8525277400000000|1200000000.0000000000000000|316365881.9439154470476118|638259.0852412212265744|0.6194287135620242|-4.2183169059127802|0.6464800420398165|http://explorer.defichain.io/
bitcoin-gold|100|BTG|Bitcoin Gold|17513923.5890000000000000|21000000.0000000000000000|311075800.1124894460889863|8788150.0144102348715137|17.7616282571808956|-0.1496951402131053|16.8687339487216756|https://explorer.bitcoingold.org/insight/
